Data/Ora, Particelle sospese PM2.5 - µg/m³
2024/02/04,30
2024/02/05,26
2024/02/06,73
2024/02/07,43
2024/02/08,30
2024/02/09,29
2024/02/10,7
2024/02/11,7
2024/02/12,21
2024/02/13,26
2024/02/14,29
2024/02/15,50
2024/02/16,69
2024/02/17,76
2024/02/18,99
2024/02/19,80
2024/02/20,74
2024/02/21,49
2024/02/22,38
2024/02/23,8
2024/02/24,17
2024/02/25,13
2024/02/26,7
2024/02/27,8
2024/02/28,11
2024/02/29,16
2024/03/01,13
2024/03/02,10
2024/03/03,8
2024/03/04,8
2024/03/05,13
2024/03/06,6
2024/03/07,17
2024/03/08,18
2024/03/09,12
2024/03/10,8
2024/03/11,11
2024/03/12,12
2024/03/13,18
2024/03/14,28
2024/03/15,7
2024/03/16,12
2024/03/17,26
2024/03/18,11
2024/03/19,34
2024/03/20,28
2024/03/21,33
2024/03/22,45
2024/03/23,27
2024/03/24,4
2024/03/25,9
2024/03/26,13
2024/03/27,10
2024/03/28,9
2024/03/29,20
2024/03/30,20
2024/03/31,12
2024/04/01,7
2024/04/02,7
2024/04/03,10
2024/04/04,12
2024/04/05,8
2024/04/06,10
2024/04/07,12
2024/04/08,25
2024/04/09,23
2024/04/10,4
2024/04/11,10
2024/04/12,18
2024/04/13,22
2024/04/14,22
2024/04/15,11
2024/04/16,10
2024/04/17,6
2024/04/18,6
2024/04/19,7
2024/04/20,4
2024/04/21,4
2024/04/22,3
2024/04/23,5
2024/04/24,8
2024/04/25,10
2024/04/26,11
2024/04/27,13
2024/04/28,11
2024/04/29,11
2024/04/30,12
2024/05/01,16
2024/05/02,6
2024/05/03,6
2024/05/04,6
2024/05/05,5
2024/05/06,7
2024/05/07,9
2024/05/08,7
2024/05/09,10
2024/05/10,12
2024/05/11,13
2024/05/12,15
2024/05/13,11
2024/05/14,20
2024/05/15,7
2024/05/16,7
2024/05/17,7
2024/05/18,9
2024/05/19,10
2024/05/20,13
2024/05/21,5
2024/05/22,6
2024/05/23,6
2024/05/24,9
2024/05/25,6
2024/05/26,6
2024/05/27,10
2024/05/28,12
2024/05/29,10
2024/05/30,12
2024/05/31,4
2024/06/01,5
2024/06/02,7
2024/06/03,7
2024/06/04,6
2024/06/05,8
